PST045214;PST040210;PST120214;POP010210;AGE135214;AGE295214;AGE775214;SEX255214;RHI125214;RHI225214;RHI325214;RHI425214;RHI525214;RHI625214;RHI725214;RHI825214;POP715213;POP645213;POP815213;EDU635213;EDU685213;VET605213;LFE305213;HSG010214;HSG445213;HSG096213;HSG495213;HSD410213;HSD310213;INC910213;INC110213;PVY020213;BZA010213;BZA110213;BZA115213;NES010213;SBO001207;SBO315207;SBO115207;SBO215207;SBO515207;SBO415207;SBO015207;MAN450207;WTN220207;RTN130207;RTN131207;AFN120207;BPS030214;LND110210;POP060210;pct_dem_16;pct_gop_16;pct_dem_12;pct_gop_12
2215;2266;-2.30000000000;2266;4.20000000000;19.90000000000;24.60000000000;50.90000000000;95.40000000000;0.00000000000;0.40000000000;1.90000000000;0.00000000000;2.30000000000;4.50000000000;91.80000000000;84.90000000000;2.10000000000;4.30000000000;96.60000000000;22.70000000000;278;17.90000000000;1223;76.40000000000;4.70000000000;139500;970;2.27000000000;26954;51548;12.10000000000;44;315;-8.70000000000;137;97;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;70512;11673;5582;523;3;710.69000000000;3.20000000000;0.22402597400;0.68262987000;0.26274509800;0.71529411800
10764;10915;-1.40000000000;10914;6.30000000000;21.40000000000;14.90000000000;45.30000000000;26.90000000000;70.10000000000;0.80000000000;0.30000000000;0.70000000000;1.10000000000;7.50000000000;22.10000000000;84.70000000000;5.40000000000;5.20000000000;67.80000000000;12.50000000000;636;26.90000000000;4461;74.30000000000;8.70000000000;70600;3741;2.73000000000;18628;32033;21.60000000000;112;0;0.00000000000;470;417;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;38.80000000000;0;0;43810;3995;3670;1;622.81000000000;17.50000000000;0.75090406300;0.24228887500;0.76306882300;0.23505077100
22571;22985;-1.80000000000;22985;5.00000000000;21.60000000000;17.60000000000;51.30000000000;97.30000000000;0.70000000000;0.30000000000;0.50000000000;0.00000000000;1.20000000000;1.30000000000;96.30000000000;88.00000000000;1.30000000000;1.60000000000;88.30000000000;16.20000000000;2436;29.00000000000;10034;79.90000000000;8.50000000000;117900;8752;2.50000000000;25467;53954;7.60000000000;424;4645;-2.40000000000;1307;2278;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;30.60000000000;0;0;250326;11186;26668;25;369.27000000000;62.20000000000;0.24502704200;0.70923091000;0.36780684100;0.60684104600
307283;308826;-0.50000000000;308760;5.50000000000;25.00000000000;12.10000000000;50.10000000000;93.80000000000;1.40000000000;0.50000000000;2.80000000000;0.10000000000;1.40000000000;12.40000000000;82.20000000000;91.30000000000;9.40000000000;14.30000000000;92.10000000000;32.40000000000;17482;33.70000000000;117051;82.30000000000;11.50000000000;220500;108852;2.82000000000;32341;76145;7.70000000000;7693;84168;-2.40000000000;21914;28523;0.70000000000;0.30000000000;3.30000000000;0.00000000000;3.00000000000;29.90000000000;5291243;2391154;3578581;11372;365565;558;603.17000000000;511.90000000000;0.42689357500;0.50745299500;0.44682571200;0.53513388100
77916;75403;3.30000000000;75403;5.80000000000;23.30000000000;17.10000000000;51.70000000000;90.90000000000;0.80000000000;2.50000000000;2.00000000000;0.30000000000;3.40000000000;13.00000000000;79.50000000000;82.30000000000;7.30000000000;12.80000000000;89.80000000000;29.00000000000;6818;24.50000000000;30607;65.40000000000;20.60000000000;217400;28239;2.62000000000;24426;52808;16.50000000000;1336;12758;11.10000000000;3911;5614;0.00000000000;1.80000000000;0.00000000000;0.00000000000;4.30000000000;28.80000000000;416672;70305;375062;5007;0;246;740.79000000000;101.80000000000;0.42508776700;0.49508506600;0.46361336600;0.51114837000
64441;65250;-1.20000000000;65249;4.60000000000;19.70000000000;19.70000000000;50.50000000000;96.10000000000;1.90000000000;0.30000000000;0.50000000000;0.10000000000;1.10000000000;4.10000000000;92.60000000000;91.20000000000;2.90000000000;4.80000000000;87.40000000000;15.10000000000;6219;30.50000000000;34398;78.90000000000;8.20000000000;146700;25903;2.48000000000;24861;48900;11.60000000000;1134;13291;-3.30000000000;3280;5149;2.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;28.10000000000;514283;35793;483916;7661;104719;70;381.46000000000;171.10000000000;0.31046969100;0.65157898400;0.45559590600;0.52451304100
8746;8424;3.80000000000;8424;6.40000000000;22.30000000000;17.00000000000;48.10000000000;95.40000000000;0.40000000000;2.40000000000;0.30000000000;0.10000000000;1.40000000000;2.50000000000;93.60000000000;86.50000000000;0.60000000000;7.30000000000;88.80000000000;20.50000000000;754;17.70000000000;4672;82.90000000000;10.90000000000;113600;3650;2.28000000000;31767;66534;7.30000000000;242;0;0.00000000000;607;866;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;36.30000000000;0;0;85749;10763;8162;14;1042.96000000000;8.10000000000;0.13496932500;0.81397896600;0.26422394200;0.71279016800
67694;69709;-2.90000000000;69709;4.80000000000;19.50000000000;19.50000000000;51.50000000000;91.90000000000;5.50000000000;0.20000000000;0.40000000000;0.00000000000;1.90000000000;1.40000000000;90.80000000000;90.00000000000;1.10000000000;2.60000000000;89.00000000000;14.70000000000;6720;24.80000000000;32526;73.00000000000;13.40000000000;86400;28326;2.35000000000;22324;40577;16.60000000000;1281;19193;-3.70000000000;3002;4189;0.00000000000;0.00000000000;1.50000000000;0.00000000000;0.00000000000;28.10000000000;0;0;721472;10525;66322;21;408.33000000000;170.70000000000;0.30252663800;0.65935047500;0.46277105800;0.51749311700
33477;34339;-2.50000000000;34339;5.30000000000;21.70000000000;16.80000000000;51.30000000000;78.10000000000;11.40000000000;5.80000000000;0.20000000000;0.00000000000;4.40000000000;2.20000000000;76.40000000000;90.50000000000;1.00000000000;1.90000000000;77.10000000000;11.90000000000;1891;27.80000000000;15171;80.10000000000;5.90000000000;94200;13382;2.52000000000;20181;38551;17.50000000000;407;4232;-6.30000000000;1990;2289;0.00000000000;0.00000000000;0.00000000000;0.00000000000;1.10000000000;0.00000000000;0;23787;166958;4889;22719;0;690.68000000000;49.70000000000;0.24693975200;0.73391233000;0.35904538700;0.62895092000
138776;132339;4.90000000000;132403;6.60000000000;26.90000000000;10.30000000000;52.10000000000;51.80000000000;43.50000000000;0.40000000000;1.70000000000;0.20000000000;2.40000000000;8.90000000000;44.90000000000;83.40000000000;8.40000000000;11.90000000000;87.20000000000;24.40000000000;10690;31.80000000000;51861;69.80000000000;17.40000000000;135700;46295;2.86000000000;23626;52691;16.10000000000;2392;33246;2.60000000000;11313;11400;0.00000000000;0.40000000000;2.50000000000;0.00000000000;2.70000000000;33.10000000000;989859;929175;2055804;16536;212285;224;200.07000000000;661.80000000000;0.53989366300;0.43237165500;0.51466458900;0.47510008900
